ShipmentID,ShipmentDate,PlannedArrivalDate,ActualArrivalDate,PlannedDuration,ActualDuration,DeliveryVariance,OnTimeDeliveryFlag,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,ShipmentSize,ValueCategory,Season,Month,Year,CustomerKey,OriginLocationKey,DestinationLocationKey,FreightTypeKey
47327,2023-04-01 00:00:00.000,2023-04-02,,1.0,,,0,706.0,2.03,1,0.0,Small,Low,Spring,4,2023,142,336,6602,1
46023,2023-02-21 00:00:00.000,2023-02-21,,0.0,,,0,61.6,0.0,4,0.0,Small,Low,Winter,2,2023,142,4229,7446,1
46025,2023-02-11 00:00:00.000,2023-02-14,,3.0,,,0,132.6,0.0,3,0.0,Small,Low,Winter,2,2023,142,4229,7446,1
44682,2023-01-30 00:00:00.000,2023-02-01,,2.0,,,0,36.0,0.24,1,17009.0,Small,Low,Winter,1,2023,142,336,4390,1
42644,2022-12-24 00:00:00.000,2022-12-26,,2.0,,,0,1670.0,0.0,2,0.0,Small,Low,Winter,12,2022,142,7446,5088,2
42665,2022-12-24 00:00:00.000,2022-12-26,,2.0,,,0,5202.0,0.0,1,0.0,Small,Low,Winter,12,2022,142,7446,5088,2
43266,2022-12-15 00:00:00.000,2022-12-15,,0.0,,,0,11.8,0.3,1,0.0,Small,Low,Winter,12,2022,142,2882,8101,1
39934,2022-10-22 00:00:00.000,2022-10-24,,2.0,,,0,148.0,0.3,1,774073.93,Small,Low,Fall,10,2022,142,336,5088,1
39933,2022-10-22 00:00:00.000,2022-10-24,,2.0,,,0,1004.0,5.05,2,774073.93,Small,Low,Fall,10,2022,142,336,5088,1
38453,2022-08-10 00:00:00.000,2022-09-13,,34.0,,,0,11270.0,0.0,47,0.0,Small,Low,Summer,8,2022,142,2948,1035,1
30932,2022-02-20 00:00:00.000,2022-02-22,,2.0,,,0,4000.0,0.0,40,0.0,Small,Low,Winter,2,2022,142,336,7446,1
30945,2022-03-27 00:00:00.000,2022-03-29,,2.0,,,0,4000.0,0.0,40,0.0,Small,Low,Spring,3,2022,142,336,7446,1
30348,2022-03-17 00:00:00.000,2022-03-19,,2.0,,,0,15900.0,0.0,1,0.0,Small,Low,Spring,3,2022,142,7446,5088,2
30355,2022-03-21 00:00:00.000,2022-03-23,,2.0,,,0,4082.0,0.0,11,0.0,Small,Low,Spring,3,2022,142,7446,5088,2
29163,2022-02-01 00:00:00.000,2022-02-01,,0.0,,,0,39.7,0.0,2,0.0,Small,Low,Winter,2,2022,142,2882,4390,1
28938,2022-02-06 00:00:00.000,2022-02-08,,2.0,,,0,50880.0,0.0,212,0.0,Small,Low,Winter,2,2022,142,336,4390,1
28883,2021-12-25 00:00:00.000,2021-12-27,,2.0,,,0,474.0,0.0,1,0.0,Small,Low,Winter,12,2021,142,4390,336,2
28884,2021-12-24 00:00:00.000,2021-12-24,,0.0,,,0,137.0,0.0,2,0.0,Small,Low,Winter,12,2021,142,2360,336,2
28346,2021-12-29 00:00:00.000,2021-12-29,,0.0,,,0,32.0,0.16,1,0.0,Small,Low,Winter,12,2021,142,2882,7446,1
28348,2021-12-29 00:00:00.000,2021-12-29,,0.0,,,0,105.0,0.12,1,0.0,Small,Low,Winter,12,2021,142,2882,7446,1
28353,2022-01-10 00:00:00.000,2022-01-10,,0.0,,,0,246.0,1.89,1,0.0,Small,Low,Winter,1,2022,142,2882,3266,1
28137,2022-01-23 00:00:00.000,2022-01-25,,2.0,,,0,43339.0,0.0,49,0.0,Small,Low,Winter,1,2022,142,336,4390,1
28150,2022-01-22 00:00:00.000,2022-01-24,,2.0,,,0,336.0,0.0,1,0.0,Small,Low,Winter,1,2022,142,7446,5088,2
28152,2022-01-22 00:00:00.000,2022-01-24,,2.0,,,0,1100.0,0.0,1,0.0,Small,Low,Winter,1,2022,142,7446,5088,2
27766,2021-08-30 00:00:00.000,2021-08-30,,0.0,,,0,293.0,0.0,2,0.0,Small,Low,Summer,8,2021,142,2360,336,1
27768,2021-01-02 00:00:00.000,2021-01-04,,2.0,,,0,1628.0,3.78,1,0.0,Small,Low,Winter,1,2021,142,336,7446,1
26920,2021-12-04 00:00:00.000,2021-12-04,,0.0,,,0,34.0,0.19,1,0.0,Small,Low,Winter,12,2021,142,2882,3266,1
26929,2021-09-27 00:00:00.000,2021-09-27,,0.0,,,0,37.0,0.0,3,0.0,Small,Low,Fall,9,2021,142,1385,6627,1
26959,2021-07-10 00:00:00.000,2021-07-10,,0.0,,,0,42.0,0.3,1,0.0,Small,Low,Summer,7,2021,142,2882,7446,1
