ShipmentDate,Shipments,6M_Forecast,InvoiceDate,NetAmount,Correlation
2022-04-17,1,20.15,2022-04-17,2151.395,0.013646986353854362
2022-04-18,12,20.211111111111112,2022-04-18,334755.594,0.013646986353854362
2022-04-19,6,20.233333333333334,2022-04-19,260084.612,0.013646986353854362
2022-04-20,20,20.33888888888889,2022-04-20,1211706.339,0.013646986353854362
2022-04-21,7,20.366666666666667,2022-04-21,55966.266,0.013646986353854362
2022-04-22,21,20.477777777777778,2022-04-22,202465.062,0.013646986353854362
2022-04-23,79,20.822222222222223,2022-04-23,6056.01,0.013646986353854362
2022-04-24,3,20.833333333333332,2022-04-24,869.29,0.013646986353854362
2022-04-25,8,20.872222222222224,2022-04-25,214278.66400000002,0.013646986353854362
2022-04-26,11,20.92222222222222,2022-04-26,417728.947,0.013646986353854362
2022-04-27,35,21.094444444444445,2022-04-27,242770.628,0.013646986353854362
2022-04-28,25,21.216666666666665,2022-04-28,157522.37,0.013646986353854362
2022-04-29,40,21.433333333333334,2022-04-29,153000.644,0.013646986353854362
2022-04-30,63,21.77777777777778,2022-04-30,91981.901,0.013646986353854362
2022-05-01,2,21.783333333333335,2022-05-01,3109.368,0.013646986353854362
2022-05-02,4,21.8,2022-05-02,446.0,0.013646986353854362
2022-05-03,9,21.844444444444445,2022-05-03,5985.25,0.013646986353854362
2022-05-04,23,21.955555555555556,2022-05-04,357075.94299999997,0.013646986353854362
2022-05-05,9,21.95,2022-05-05,418120.064,0.013646986353854362
2022-05-06,47,22.205555555555556,2022-05-06,114332.27100000001,0.013646986353854362
2022-05-07,96,22.72222222222222,2022-05-07,10900.413,0.013646986353854362
2022-05-08,3,22.727777777777778,2022-05-08,1011.9459999999999,0.013646986353854362
2022-05-09,9,22.755555555555556,2022-05-09,60191.424999999996,0.013646986353854362
2022-05-10,5,22.761111111111113,2022-05-10,116219.258,0.013646986353854362
2022-05-11,25,22.866666666666667,2022-05-11,54776.263999999996,0.013646986353854362
2022-05-12,28,23.011111111111113,2022-05-12,166489.343,0.013646986353854362
2022-05-13,66,23.366666666666667,2022-05-13,107745.239,0.013646986353854362
2022-05-14,37,23.52777777777778,2022-05-14,24221.398,0.013646986353854362
2022-05-15,8,23.538888888888888,2022-05-15,12191.064,0.013646986353854362
2022-05-16,27,23.67222222222222,2022-05-16,138141.841,0.013646986353854362
2022-05-17,6,23.5,2022-05-17,170962.172,0.013646986353854362
2022-05-18,34,23.622222222222224,2022-05-18,154095.932,0.013646986353854362
2022-05-19,7,23.52777777777778,2022-05-19,140497.90600000002,0.013646986353854362
2022-05-20,26,23.36111111111111,2022-05-20,146831.029,0.013646986353854362
2022-05-21,71,23.75,2022-05-21,43861.405,0.013646986353854362
2022-05-22,10,23.716666666666665,2022-05-22,5372.38,0.013646986353854362
2022-05-23,25,23.83888888888889,2022-05-23,333515.292,0.013646986353854362
2022-05-24,8,23.72222222222222,2022-05-24,222458.859,0.013646986353854362
2022-05-25,27,23.82777777777778,2022-05-25,166055.817,0.013646986353854362
2022-05-26,13,23.66111111111111,2022-05-26,75005.32,0.013646986353854362
2022-05-27,24,23.65,2022-05-27,233872.626,0.013646986353854362
2022-05-28,82,24.094444444444445,2022-05-28,11540.085,0.013646986353854362
2022-05-29,1,24.066666666666666,2022-05-29,41.096000000000004,0.013646986353854362
2022-05-30,14,24.066666666666666,2022-05-30,90756.79400000001,0.013646986353854362
2022-05-31,44,24.155555555555555,2022-05-31,171463.851,0.013646986353854362
2022-06-01,14,24.205555555555556,2022-06-01,58850.49,0.013646986353854362
2022-06-02,9,24.05,2022-06-02,84860.321,0.013646986353854362
2022-06-03,50,23.988888888888887,2022-06-03,161827.691,0.013646986353854362
2022-06-04,51,24.25,2022-06-04,37547.596,0.013646986353854362
2022-06-06,6,24.261111111111113,2022-06-06,46171.459,0.013646986353854362
2022-06-07,9,24.244444444444444,2022-06-07,370955.119,0.013646986353854362
2022-06-08,22,24.255555555555556,2022-06-08,74698.182,0.013646986353854362
2022-06-09,13,24.272222222222222,2022-06-09,252471.555,0.013646986353854362
2022-06-10,52,24.383333333333333,2022-06-10,20659.436,0.013646986353854362
